snapshot,debt_to_income,credit_age_years,recent_inquiries,utilization
baseline,0.44459627328942797,5.58397576378006,1,0.5059166622982919
baseline,0.3102305139640282,9.280185946997172,1,0.3619072465866326
baseline,0.33267527777640876,8.956121782549673,0,0.32584038258156733
baseline,0.4136462394642464,4.381858752435919,2,0.19399140451546357
baseline,0.3824243935767969,11.276765519637427,2,0.07873609727521061
baseline,0.35789565104448384,0.9056325286750289,1,0.4915223051107897
baseline,0.26208294162792695,10.1382811672377,1,0.11549344775487798
baseline,0.1981126449160136,6.642703826091846,2,0.5282979797958374
baseline,0.3376168896193268,5.920113442012589,5,0.5072407189608237
baseline,0.24880404904511483,3.838762708147825,2,0.597018036648034
baseline,0.38272348654990745,4.705226508775567,4,0.36573148066705047
baseline,0.32112544480507754,1.765742718496245,0,0.5015800273212713
baseline,0.22547056483368716,7.639058744160268,3,0.22993254524081036
baseline,0.326772526284116,3.666751549236757,2,0.4429495883054032
baseline,0.3709180474804462,9.475080100126306,1,0.17228207458430791
baseline,0.3177520116281365,8.31115301597623,0,0.24910359594692968
baseline,0.22174309020529204,6.499231237635339,2,0.2440748775629611
baseline,0.3262328999673103,4.914159050906254,1,0.36509580971579847
baseline,0.3357001704721309,8.627439213565331,0,0.1635911926049431
baseline,0.38242873759764423,8.591884960930246,3,0.5967323849042225
baseline,0.3722034422659204,8.724374038437546,5,0.2470164456609706
baseline,0.20917424870323273,11.190607671674355,4,0.7637223023891175
baseline,0.2502228643797041,7.2935273828585,4,0.17114122833637632
baseline,0.3605713127953333,8.80701405603192,2,0.18619139871043747
baseline,0.13023213979157403,7.908935626994609,2,0.37485300964302526
baseline,0.37772288109823665,7.421091031291315,4,0.13220972416134535
baseline,0.21605501116650022,8.438302841254432,1,0.4272305890843105
baseline,0.25782243561155666,6.736656583338933,1,0.20559554397229812
baseline,0.44433399342491564,4.01052195102614,0,0.2903282790540594
baseline,0.2935517112173108,6.654102885343679,3,0.3578230009161936
baseline,0.2698120854919035,9.181104674445185,1,0.27925150235994095
baseline,0.3281413103177203,12.296208467009546,1,0.32308116274245424
baseline,0.2906055099510677,5.495819340950206,3,0.15320833209404958
baseline,0.23740909790056416,10.653208117488886,0,0.25063999645375934
baseline,0.32498575453697526,9.085198180765643,2,0.1616174360813884
baseline,0.5136829833930069,11.176857689559325,3,0.33421587461009034
baseline,0.39196307357367627,5.346625701511651,3,0.06494265611065544
baseline,0.3437905733619228,7.8015588776573175,0,0.09774369271887681
baseline,0.32572842061504664,5.205699780104293,1,0.11502787571066078
baseline,0.3797789069779029,7.487460822449362,1,0.4933256871834678
baseline,0.3624088131783166,4.996154653110429,0,0.5609334913502552
baseline,0.21432644028694064,6.386000874631376,1,0.2599821986505625
baseline,0.35070579757016107,8.877418084899336,1,0.16605442814043908
baseline,0.3052237921489733,13.246845122916895,4,0.15637472186255688
baseline,0.4715856682043247,8.499158591462818,1,0.4780473601556493
baseline,0.27889239671500365,5.683592673570288,3,0.39962221383205543
baseline,0.4251761797751964,0.7800276904526093,2,0.14825313224857692
baseline,0.18443151588290843,3.8049355892728505,0,0.11370954036391795
baseline,0.3312912674926229,6.974844388584472,2,0.34098026911731394
baseline,0.22885592282376135,8.019444563450882,5,0.2580326062479391
baseline,0.21226211934594333,9.608550115584302,2,0.2639553183255619
baseline,0.378532272478865,3.8951840306543986,3,0.6267737075843413
baseline,0.20168571993848486,6.00625627997724,1,0.33811847432454084
baseline,0.2861890381666711,11.388919572269042,3,0.19648286504272092
baseline,0.22980160138028966,9.388042547791597,1,0.43166589033277647
baseline,0.33959208675416463,2.698784127583913,3,0.4203734729093788
baseline,0.32776186708645916,6.098255716375752,0,0.14968512427450262
baseline,0.08352189123268469,9.17419842305486,1,0.4971940457893087
