timestamp,session_id,model_version,turn_index,refusal_flag
2026-04-08T00:06:25+00:00,S100005,aurora-2.3,1,0
2026-04-08T00:08:49+00:00,S100002,aurora-2.3,2,0
2026-04-08T00:19:46+00:00,S100033,aurora-2.3,1,0
2026-04-08T00:26:47+00:00,S100060,aurora-2.3,5,0
2026-04-08T00:41:47+00:00,S100042,aurora-2.3,1,0
2026-04-08T00:43:36+00:00,S100059,aurora-2.3,4,0
2026-04-08T00:49:58+00:00,S100058,aurora-2.3,5,0
2026-04-08T00:52:56+00:00,S100041,aurora-2.3,1,0
2026-04-08T01:08:13+00:00,S100056,aurora-2.3,2,0
2026-04-08T01:13:11+00:00,S100054,aurora-2.3,1,0
2026-04-08T01:16:43+00:00,S100058,aurora-2.3,3,0
2026-04-08T01:17:27+00:00,S100002,aurora-2.3,1,0
2026-04-08T01:18:26+00:00,S100026,aurora-2.3,3,0
2026-04-08T01:21:26+00:00,S100011,aurora-2.3,2,0
2026-04-08T01:36:53+00:00,S100003,aurora-2.3,3,0
2026-04-08T01:44:46+00:00,S100037,aurora-2.3,2,0
2026-04-08T02:09:52+00:00,S100030,aurora-2.3,1,0
2026-04-08T02:24:32+00:00,S100061,aurora-2.3,2,0
2026-04-08T02:30:31+00:00,S100062,aurora-2.3,2,0
2026-04-08T02:33:27+00:00,S100010,aurora-2.3,4,0
2026-04-08T02:37:43+00:00,S100050,aurora-2.3,5,0
2026-04-08T02:41:46+00:00,S100014,aurora-2.3,4,0
2026-04-08T02:46:36+00:00,S100055,aurora-2.3,5,0
2026-04-08T02:48:34+00:00,S100003,aurora-2.3,1,0
2026-04-08T03:00:43+00:00,S100030,aurora-2.3,2,1
2026-04-08T03:08:39+00:00,S100020,aurora-2.3,4,0
2026-04-08T03:22:11+00:00,S100020,aurora-2.3,1,0
2026-04-08T03:26:45+00:00,S100044,aurora-2.3,2,0
2026-04-08T03:41:05+00:00,S100023,aurora-2.3,1,0
2026-04-08T03:43:30+00:00,S100061,aurora-2.3,4,0
2026-04-08T03:54:52+00:00,S100020,aurora-2.3,3,0
2026-04-08T03:57:26+00:00,S100006,aurora-2.3,3,0
2026-04-08T04:04:35+00:00,S100003,aurora-2.3,4,0
2026-04-08T04:11:42+00:00,S100019,aurora-2.3,1,0
2026-04-08T04:15:26+00:00,S100052,aurora-2.3,5,0
2026-04-08T04:17:00+00:00,S100058,aurora-2.3,4,0
2026-04-08T04:19:58+00:00,S100011,aurora-2.3,1,0
2026-04-08T04:32:46+00:00,S100044,aurora-2.3,3,0
2026-04-08T04:34:08+00:00,S100029,aurora-2.3,1,0
2026-04-08T04:38:24+00:00,S100014,aurora-2.3,1,0
2026-04-08T04:43:02+00:00,S100055,aurora-2.3,4,0
2026-04-08T04:48:50+00:00,S100006,aurora-2.3,4,0
2026-04-08T04:50:28+00:00,S100059,aurora-2.3,2,0
2026-04-08T04:56:08+00:00,S100010,aurora-2.3,3,0
2026-04-08T05:01:31+00:00,S100057,aurora-2.3,5,0
2026-04-08T05:08:52+00:00,S100055,aurora-2.3,2,0
2026-04-08T05:09:56+00:00,S100042,aurora-2.3,4,0
2026-04-08T05:18:15+00:00,S100047,aurora-2.3,2,0
